,time,open,close,high,low,volumn
0,20111031.0,68.5,83.3,84.1,66.6,988590.0
1,20111130.0,84.0,79.7,87.0,73.1,1036671.0
2,20111230.0,83.9,82.9,84.0,77.3,588407.0
3,20120131.0,82.5,95.3,96.7,81.4,796911.0
4,20120229.0,95.5,102.5,104.5,93.5,966218.0
5,20120330.0,102.5,114.5,117.0,98.0,870092.0
6,20120430.0,114.0,92.4,115.5,92.4,767122.0
7,20120531.0,86.0,87.5,91.0,82.8,1190582.0
8,20120629.0,87.1,89.4,89.8,80.9,549343.0
9,20120731.0,89.8,84.6,92.5,80.2,643129.0
10,20120831.0,85.0,84.8,91.5,79.0,880129.0
11,20120928.0,90.7,92.0,98.4,88.2,923731.0
12,20121031.0,92.0,88.7,92.7,83.5,810850.0
13,20121130.0,88.7,93.2,94.4,87.1,828031.0
14,20121228.0,93.7,88.9,96.6,86.5,1015246.0
15,20130131.0,89.5,84.4,89.9,82.2,895353.0
16,20130227.0,84.5,81.7,85.1,81.7,349617.0
17,20130329.0,81.7,83.3,84.3,79.7,732787.0
18,20130430.0,83.3,76.2,83.5,75.5,814509.0
19,20130531.0,76.6,76.7,82.0,75.8,1201483.0
20,20130628.0,76.7,74.0,77.1,68.8,827481.0
21,20130731.0,74.0,77.8,79.6,72.5,721444.0
22,20130830.0,77.4,81.2,81.4,76.0,603747.0
23,20130930.0,81.2,75.9,83.0,74.3,831043.0
24,20131031.0,76.2,74.5,76.8,72.9,590485.0
25,20131129.0,75.0,78.0,78.4,73.3,623186.0
26,20131231.0,78.8,80.1,80.7,77.6,691244.0
27,20140127.0,80.3,84.9,85.9,78.9,870941.0
28,20140227.0,82.3,84.0,84.3,80.3,615519.0
29,20140331.0,83.8,86.3,87.0,82.4,643222.0
30,20140430.0,86.5,86.6,89.0,85.1,525010.0
31,20140530.0,87.3,92.4,93.9,87.0,527873.0
32,20140630.0,93.2,100.0,100.0,92.5,493214.0
33,20140731.0,100.5,103.5,113.0,100.0,838818.0
34,20140829.0,101.0,102.0,112.0,100.5,716261.0
35,20140930.0,103.0,96.0,103.5,94.8,617289.0
36,20141031.0,96.5,96.0,99.7,89.0,731926.0
37,20141128.0,97.0,97.0,99.0,95.0,571563.0
38,20141231.0,93.4,87.9,96.5,84.3,1021407.0
39,20150130.0,87.8,86.7,89.4,83.0,703576.0
40,20150226.0,87.2,87.1,88.4,84.5,425339.0
41,20150331.0,87.7,91.6,94.9,86.2,1151318.0
42,20150430.0,91.6,92.0,95.4,90.5,749400.0
43,20150529.0,93.0,99.1,99.3,92.1,825293.0
44,20150630.0,99.1,97.0,99.7,93.1,720507.0
45,20150731.0,97.4,90.7,98.3,87.5,668627.0
46,20150831.0,91.0,92.5,92.5,77.9,863952.0
47,20150930.0,91.5,85.6,91.5,82.6,745554.0
48,20151030.0,84.9,86.6,89.0,84.7,577960.0
49,20151130.0,87.2,84.0,89.0,82.6,589550.0
50,20151231.0,85.1,80.8,86.2,79.6,532202.0
51,20160130.0,81.2,78.2,81.2,72.7,636000.0
52,20160226.0,79.1,78.0,80.0,73.8,412022.0
53,20160331.0,76.8,84.8,86.8,76.8,724313.0
54,20160429.0,84.1,77.1,84.6,77.1,464847.0
55,20160531.0,77.0,80.1,80.1,72.5,652188.0
56,20160630.0,79.6,82.5,83.2,78.0,600916.0
57,20160729.0,82.5,87.9,89.5,81.5,607589.0
58,20160831.0,87.8,88.0,90.1,84.5,938536.0
59,20160930.0,87.2,79.0,87.8,76.3,952279.0
60,20161031.0,79.8,85.3,86.4,78.9,659608.0
61,20161130.0,85.3,82.0,85.4,78.6,773626.0
62,20161230.0,82.7,84.2,85.6,81.1,643871.0
63,20170124.0,83.7,83.7,84.6,83.0,336113.0
64,20170224.0,85.7,89.5,91.8,83.2,922176.0
65,20170331.0,90.4,91.0,91.8,88.0,613307.0
66,20170428.0,96.0,98.8,99.5,95.2,795533.0
67,20170531.0,99.8,103.0,105.5,99.8,770843.0
68,20170630.0,103.5,117.0,122.5,101.0,1184090.0
69,20170731.0,116.0,117.5,119.5,113.0,921352.0
70,20170831.0,116.5,117.5,122.5,114.0,703815.0
71,20170930.0,117.0,107.0,118.0,103.0,948969.0
72,20171031.0,108.0,112.0,114.0,105.0,584302.0
73,20171130.0,112.5,100.0,114.5,100.0,837476.0
74,20171229.0,100.0,95.2,100.0,90.5,938405.0
75,20180131.0,95.4,92.2,97.4,90.6,1121789.0
76,20180227.0,92.6,88.1,95.4,86.1,742880.0
77,20180331.0,87.8,88.5,96.5,87.0,1087063.0
78,20180430.0,88.5,82.9,89.4,79.5,815821.0
79,20180516.0,83.3,84.6,90.4,80.1,523297.0
